Date,Low,High,Open,Close,Volume BTC
2018-01-01 01:00:00,11805.23,12139.01,12139.01,11812.0,86.14654043
2018-01-01 02:00:00,11571.13,11857.66,11812.0,11611.22,92.61956649
2018-01-01 03:00:00,11591.03,11819.99,11591.04,11725.12,61.93672039
2018-01-01 04:00:00,11729.26,12029.49,11744.31,11762.14,43.05667925
2018-01-01 05:00:00,11712.0,11953.6,11761.73,11910.13,15.81961956
2018-01-01 06:00:00,11891.0,12002.34,11910.13,11942.92,9.40918952
2018-01-01 07:00:00,11908.24,12141.0,11942.92,12084.38,38.27175632
2018-01-01 08:00:00,11943.13,12084.5,12084.38,11972.68,33.34471629
2018-01-01 09:00:00,11802.99,12000.0,11972.17,11808.07,42.46554081
2018-01-01 10:00:00,11800.01,11930.59,11808.04,11903.32,50.95890977
2018-01-01 11:00:00,11874.22,11969.69,11903.34,11959.97,64.50459559
2018-01-01 12:00:00,11603.87,11959.97,11959.97,11698.34,142.76221168
2018-01-01 13:00:00,11605.91,11729.97,11698.34,11607.57,65.14132264
2018-01-01 14:00:00,11502.0,11650.0,11607.45,11548.73,92.11006057
2018-01-01 15:00:00,11351.0,11660.0,11548.73,11642.23,156.02072431
2018-01-01 16:00:00,11553.51,11791.63,11646.1,11642.63,88.9439693
2018-01-01 17:00:00,11594.0,11695.86,11642.64,11662.71,95.91219735
2018-01-01 18:00:00,11662.71,11698.9,11662.71,11698.85,67.92369665
2018-01-01 19:00:00,11666.01,11892.99,11698.84,11792.5,177.20346976
2018-01-01 20:00:00,11605.0,11807.72,11792.5,11688.0,114.60364552
2018-01-01 21:00:00,11687.99,11839.07,11687.99,11796.31,108.1767713
2018-01-01 22:00:00,11785.4,11945.0,11808.22,11791.95,119.6269387
2018-01-01 23:00:00,11750.0,11845.0,11791.91,11795.64,63.8419774
2018-01-02 00:00:00,11680.0,11800.06,11795.64,11799.98,92.55047335
2018-01-02 01:00:00,11799.97,12081.53,11799.98,11971.0,115.94760312
2018-01-02 02:00:00,11683.0,11999.0,11971.0,11690.0,75.33136871
2018-01-02 03:00:00,11500.0,11699.37,11690.0,11539.25,78.97265248
2018-01-02 04:00:00,11405.0,11593.49,11539.25,11513.45,62.37445419
2018-01-02 05:00:00,11280.0,11511.9,11511.9,11398.1,56.75441953
2018-01-02 06:00:00,11371.56,11505.75,11398.1,11485.99,40.3285335
2018-01-02 07:00:00,11465.64,11799.0,11485.99,11758.01,66.02303677
2018-01-02 08:00:00,11620.0,11790.35,11758.41,11764.96,85.80058298
2018-01-02 09:00:00,11745.01,11936.13,11764.96,11897.91,150.78866649
2018-01-02 10:00:00,11895.01,11996.0,11897.95,11950.19,153.28733667
2018-01-02 11:00:00,11950.0,12085.02,11950.19,11963.33,210.10058606
2018-01-02 12:00:00,11805.49,11989.54,11961.54,11950.0,155.71984998
2018-01-02 13:00:00,11903.83,11999.99,11950.0,11966.98,133.33610731
2018-01-02 14:00:00,11960.0,12256.0,11960.0,12195.53,308.20595305
2018-01-02 15:00:00,12101.01,12233.0,12195.37,12175.0,208.57651985
2018-01-02 16:00:00,11950.0,12189.9,12175.0,12001.19,221.99186901
2018-01-02 17:00:00,12001.17,12149.48,12001.18,12050.04,185.3009484
2018-01-02 18:00:00,12050.0,12157.49,12050.1,12157.48,123.77538647
2018-01-02 19:00:00,12150.0,12785.99,12157.45,12615.02,569.30804807
2018-01-02 20:00:00,12552.95,13100.0,12601.33,12715.3,706.93802702
2018-01-02 21:00:00,12416.38,12949.93,12715.3,12438.45,402.52905464
2018-01-02 22:00:00,12335.0,12550.0,12440.97,12482.13,295.97603681
2018-01-02 23:00:00,12476.24,12669.8,12482.1,12579.01,191.77866272
2018-01-03 00:00:00,12400.0,12638.0,12558.43,12545.01,107.85867009
2018-01-03 01:00:00,12493.59,12668.5,12545.01,12610.64,60.02285417
2018-01-03 02:00:00,12557.44,12643.5,12610.71,12600.01,30.70878997
2018-01-03 03:00:00,12600.0,12747.0,12600.0,12746.62,54.28175637
2018-01-03 04:00:00,12605.74,12897.1,12746.62,12630.95,52.75384746
2018-01-03 05:00:00,12630.94,12897.35,12630.94,12860.0,31.55453114
2018-01-03 06:00:00,12823.0,12898.09,12860.0,12878.11,50.51655566
2018-01-03 07:00:00,12830.0,13054.01,12878.1,13054.0,94.57330076
2018-01-03 08:00:00,12968.04,13088.61,13054.0,13074.35,120.43510066
2018-01-03 09:00:00,12950.0,13080.0,13074.23,13011.0,188.10122764
2018-01-03 10:00:00,12846.16,13013.0,13011.0,12926.0,240.77097668
2018-01-03 11:00:00,12704.0,12985.21,12926.0,12837.0,242.08288415
2018-01-03 12:00:00,12769.12,12859.5,12837.01,12799.8,185.72383041
2018-01-03 13:00:00,12799.79,12850.0,12799.8,12807.62,212.62215527
2018-01-03 14:00:00,12807.62,12899.0,12807.63,12898.59,203.44789268
2018-01-03 15:00:00,12881.26,12990.0,12898.59,12980.01,197.0021175
2018-01-03 16:00:00,12949.11,13000.0,12980.01,12999.99,170.64590868
2018-01-03 17:00:00,12999.99,13198.0,13000.0,13128.06,278.29290407
2018-01-03 18:00:00,13031.92,13142.59,13128.06,13032.21,169.30824869
2018-01-03 19:00:00,12950.0,13087.85,13032.2,12963.52,205.18797646
2018-01-03 20:00:00,12949.9,13007.0,12963.51,12950.47,164.36329788
2018-01-03 21:00:00,12901.02,13020.0,12950.46,13016.0,164.9950514
2018-01-03 22:00:00,13000.0,13080.0,13016.0,13069.23,145.54042362
2018-01-03 23:00:00,12903.0,13080.0,13069.23,12903.01,150.57815759
2018-01-04 00:00:00,12903.0,13068.89,12903.0,13065.62,92.99506226
2018-01-04 01:00:00,13021.01,13083.54,13065.05,13061.02,68.84306477
2018-01-04 02:00:00,12964.31,13100.0,13061.01,13100.0,59.14051184
2018-01-04 03:00:00,13001.0,13125.0,13100.0,13042.38,44.41490922
2018-01-04 04:00:00,13005.39,13100.0,13042.38,13005.39,17.84003414
2018-01-04 05:00:00,12930.04,13005.4,13005.4,12930.04,27.3298382
2018-01-04 06:00:00,12906.01,12975.0,12930.04,12906.01,32.44170015
2018-01-04 07:00:00,12906.02,13020.09,12906.03,12961.07,47.36673615
2018-01-04 08:00:00,12910.0,12961.07,12961.07,12920.06,102.11968241
2018-01-04 09:00:00,12651.0,12920.06,12920.06,12657.0,281.54551751
2018-01-04 10:00:00,12512.0,12875.0,12657.0,12726.22,318.9023721
2018-01-04 11:00:00,12720.21,12860.0,12726.22,12770.01,207.34703552
2018-01-04 12:00:00,12683.1,12775.0,12770.01,12743.06,220.42503113
2018-01-04 13:00:00,12641.51,12834.08,12743.06,12708.01,239.0161521
2018-01-04 14:00:00,12655.01,12777.06,12708.0,12693.11,203.10575772
2018-01-04 15:00:00,12600.0,12740.54,12695.57,12680.32,230.12345141
2018-01-04 16:00:00,12616.6,12700.0,12680.32,12690.0,162.1116954
2018-01-04 17:00:00,12580.0,12690.0,12689.99,12665.54,185.20118475
2018-01-04 18:00:00,12617.3,12749.69,12665.54,12740.0,154.01919013
2018-01-04 19:00:00,12738.27,12822.0,12739.31,12757.35,159.93150901
2018-01-04 20:00:00,12751.76,12872.14,12757.34,12844.81,141.83136793
2018-01-04 21:00:00,12763.09,12982.34,12844.82,12769.57,214.24572535
2018-01-04 22:00:00,12769.57,12944.94,12769.6,12877.5,126.02818319
2018-01-04 23:00:00,12819.16,12899.0,12877.5,12899.0,87.86651678
2018-01-05 00:00:00,12860.0,12940.0,12898.99,12940.0,60.45253556
2018-01-05 01:00:00,12795.0,12949.0,12940.0,12850.0,71.25040868
2018-01-05 02:00:00,12837.48,12954.06,12849.99,12954.06,56.89438833
2018-01-05 03:00:00,12915.39,12967.0,12954.05,12927.93,34.10800624
2018-01-05 04:00:00,12841.2,12927.93,12927.93,12841.22,23.05751927
2018-01-05 05:00:00,12709.81,12841.22,12841.21,12749.69,52.13863756
2018-01-05 06:00:00,12701.99,12816.0,12749.7,12808.1,23.9096293
2018-01-05 07:00:00,12705.23,12808.09,12808.09,12720.01,36.2031908
2018-01-05 08:00:00,12624.86,12814.55,12720.01,12783.0,120.20687374
2018-01-05 09:00:00,12780.0,13091.0,12783.0,13091.0,216.96321685
2018-01-05 10:00:00,13091.0,13500.0,13091.0,13371.15,515.83726269
2018-01-05 11:00:00,13235.84,13690.0,13379.17,13534.39,323.33696895
